,BHK,Size,Floor,Bathroom,city_status_Bangalore,city_status_Chennai,city_status_Delhi,city_status_Hyderabad,city_status_Kolkata,city_status_Mumbai,Furnishing_status_Furnished,Furnishing_status_Semi-Furnished,Furnishing_status_Unfurnished,Tenant_preferred_Bachelors,Tenant_preferred_Bachelors/Family,Tenant_preferred_Family
0,2,1100,0,2,0,0,0,0,1,0,0,0,1,0,1,0
1,2,800,1,1,0,0,0,0,1,0,0,1,0,0,1,0
2,2,1000,1,1,0,0,0,0,1,0,0,1,0,0,1,0
3,2,800,1,1,0,0,0,0,1,0,0,0,1,0,1,0
4,2,850,1,1,0,0,0,0,1,0,0,0,1,1,0,0
5,2,600,0,2,0,0,0,0,1,0,0,0,1,0,1,0
6,2,700,0,2,0,0,0,0,1,0,0,0,1,1,0,0
7,1,250,1,1,0,0,0,0,1,0,0,0,1,1,0,0
8,2,800,1,2,0,0,0,0,1,0,0,0,1,1,0,0
9,2,1000,1,2,0,0,0,0,1,0,0,1,0,0,1,0
10,3,1200,1,2,0,0,0,0,1,0,0,1,0,0,1,0
11,1,400,1,1,0,0,0,0,1,0,0,0,1,0,1,0
12,1,250,1,1,0,0,0,0,1,0,1,0,0,1,0,0
13,1,375,1,1,0,0,0,0,1,0,0,0,1,0,1,0
14,3,900,0,2,0,0,0,0,1,0,0,0,1,1,0,0
15,3,1286,1,2,0,0,0,0,1,0,1,0,0,0,1,0
16,2,600,1,1,0,0,0,0,1,0,0,1,0,0,1,0
17,2,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
18,2,2000,0,1,0,0,0,0,1,0,0,0,1,0,1,0
19,2,660,1,1,0,0,0,0,1,0,0,0,1,0,1,0
20,2,650,1,1,0,0,0,0,1,0,0,0,1,0,0,1
21,2,400,2,2,0,0,0,0,1,0,0,0,1,1,0,0
22,1,300,0,1,0,0,0,0,1,0,0,0,1,0,1,0
23,3,1600,0,1,0,0,0,0,1,0,0,0,1,0,1,0
24,1,400,1,1,0,0,0,0,1,0,0,1,0,1,0,0
25,2,1000,1,1,0,0,0,0,1,0,0,0,1,0,1,0
26,1,355,1,1,0,0,0,0,1,0,0,1,0,0,1,0
27,2,1000,0,1,0,0,0,0,1,0,0,1,0,0,1,0
28,2,800,4,1,0,0,0,0,1,0,0,0,1,0,1,0
29,2,850,0,2,0,0,0,0,1,0,0,0,1,0,1,0
30,1,350,0,1,0,0,0,0,1,0,0,0,1,0,1,0
31,2,900,0,2,0,0,0,0,1,0,0,0,1,0,1,0
32,2,550,1,1,0,0,0,0,1,0,0,1,0,0,1,0
33,2,500,0,2,0,0,0,0,1,0,0,0,1,0,1,0
34,3,1100,2,1,0,0,0,0,1,0,0,0,1,0,1,0
35,2,850,1,1,0,0,0,0,1,0,0,1,0,0,1,0
36,2,800,2,1,0,0,0,0,1,0,0,0,1,1,0,0
37,2,630,0,1,0,0,0,0,1,0,0,0,1,1,0,0
38,2,900,1,2,0,0,0,0,1,0,0,1,0,1,0,0
39,1,270,1,1,0,0,0,0,1,0,0,1,0,0,1,0
40,2,630,0,1,0,0,0,0,1,0,0,1,0,0,1,0
41,3,1500,0,2,0,0,0,0,1,0,1,0,0,1,0,0
42,1,600,2,1,0,0,0,0,1,0,0,0,1,0,1,0
43,2,700,4,1,0,0,0,0,1,0,0,1,0,0,1,0
44,1,300,0,1,0,0,0,0,1,0,0,1,0,0,1,0
45,2,1300,0,2,0,0,0,0,1,0,0,1,0,0,0,1
46,2,400,3,1,0,0,0,0,1,0,0,1,0,1,0,0
47,2,650,0,2,0,0,0,0,1,0,0,0,1,0,0,1
48,3,2000,0,2,0,0,0,0,1,0,0,1,0,0,1,0
49,3,1068,0,2,0,0,0,0,1,0,0,1,0,0,1,0
50,1,150,1,1,0,0,0,0,1,0,1,0,0,0,1,0
51,1,450,2,1,0,0,0,0,1,0,0,0,1,1,0,0
52,2,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
53,2,1000,0,2,0,0,0,0,1,0,0,0,1,0,1,0
54,2,900,5,1,0,0,0,0,1,0,0,1,0,1,0,0
55,1,600,0,1,0,0,0,0,1,0,0,0,1,0,1,0
